date,Gcases,Gdeaths,Lcases,Ldeaths,SLcases,SLdeaths,cases,deaths
2016-04-13T00:00:00Z,3814,2544,10678,4810,14124,3956,28616,11310
2016-03-30T00:00:00Z,3811,2543,10675,4809,14124,3956,28610,11308
2016-03-23T00:00:00Z,3809,2540,10675,4809,14124,3956,28608,11305
2016-03-03T00:00:00Z,3804,2536,10675,4809,14124,3956,28603,11301
2016-02-17T00:00:00Z,3804,2536,10675,4809,14124,3956,28603,11301
2016-02-10T00:00:00Z,3804,2536,10675,4809,14124,3956,28603,11301
2016-02-03T00:00:00Z,3804,2536,10675,4809,14124,3956,28603,11301
2016-01-27T00:00:00Z,3804,2536,10675,4809,14124,3956,28603,11301
2016-01-20T00:00:00Z,3804,2536,10675,4809,14123,3956,28602,11301
2016-01-13T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2016-01-06T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-30T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-29T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-28T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-25T00:00:00Z,3805,2536,10675,4809,14122,3955,28601,11300
2015-12-24T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-23T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-22T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-21T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-18T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-17T00:00:00Z,3805,2536,10675,4809,14122,3955,28601,11300
2015-12-16T00:00:00Z,3807,2536,10675,4809,14122,3955,28601,11300
2015-12-15T00:00:00Z,3807,2536,10675,4809,14122,3955,28601,11300
2015-12-14T00:00:00Z,3806,2536,10675,4809,14122,3955,28601,11300
2015-12-11T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-10T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-09T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-08T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-07T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-04T00:00:00Z,3805,2536,10675,4809,14122,3955,28601,11300
2015-12-03T00:00:00Z,3805,2536,10675,4809,14122,3955,28601,11300
2015-12-02T00:00:00Z,3804,2536,10675,4809,14122,3955,28601,11300
2015-12-01T00:00:00Z,3804,2536,10675,4808,14122,3955,28601,11299
2015-11-30T00:00:00Z,3804,2536,10675,4808,14122,3955,28601,11299
2015-11-27T00:00:00Z,3804,2536,10675,4808,14122,3955,28601,11299
2015-11-26T00:00:00Z,3804,2536,10675,4808,14122,3955,28601,11299
2015-11-25T00:00:00Z,3804,2536,10675,4808,14122,3955,28601,11299
2015-11-24T00:00:00Z,3804,2536,10672,4808,14122,3955,28598,11299
2015-11-23T00:00:00Z,3804,2536,10672,4808,14122,3955,28598,11299
2015-11-20T00:00:00Z,3804,2536,10672,4808,14122,3955,28598,11299
2015-11-19T00:00:00Z,3806,2536,10672,4808,14122,3955,28598,11299
2015-11-18T00:00:00Z,3804,2536,10672,4808,14122,3955,28598,11299
2015-11-17T00:00:00Z,3404,2536,10672,4808,14122,3955,28598,11299
2015-11-16T00:00:00Z,3805,2536,10672,4808,14122,3955,28598,11299
2015-11-12T00:00:00Z,3805,2536,10672,4808,14122,3955,28598,11299
2015-11-10T00:00:00Z,3805,2536,10672,4808,14122,3955,28598,11299
2015-11-09T00:00:00Z,3806,2536,10672,4808,14122,3955,28598,11299
2015-11-06T00:00:00Z,3805,2536,10672,4808,14109,3955,28586,11299
2015-11-05T00:00:00Z,3805,2536,10672,4808,14104,3955,28581,11299
2015-11-03T00:00:00Z,3810,2536,10672,4808,14089,3955,28571,11299
2015-11-02T00:00:00Z,3808,2536,10672,4808,14078,3955,28558,11299
2015-10-30T00:00:00Z,3808,2536,10672,4808,14067,3955,28547,11299
2015-10-29T00:00:00Z,3808,2536,10672,4808,14066,3955,28546,11299
2015-10-27T00:00:00Z,3806,2535,10672,4808,14061,3955,28539,11298
2015-10-26T00:00:00Z,3804,2535,10672,4808,14052,3955,28528,11298
2015-10-23T00:00:00Z,3801,2535,10672,4808,14038,3955,28513,11298
2015-10-22T00:00:00Z,3801,2535,10672,4808,14031,3955,28511,11298
